resonance_smis,H298_kcal,weights
C#CC([C]=O)CC(C)=O,18.94129947067977,1.0
[CH2]C12CC1C=CCCO2,41.60718454858075,1.0
CC12CC[C](O)CC1C2,-1.917914314458297,1.0
[CH]1CC2CC=CC23CC13,89.91480394647742,1.0
CC1(N2CC2)C[C](O)C1,41.36482489942489,1.0
CC(O)C#CC(O)[CH]O,-40.56194295880406,1.0
OC1C[CH]C2CCC2C1,-0.2766637517629313,1.0
C#CC(C=O)C(C)[C]=O,25.273633210148816,1.0
[CH]1COCC=CCOC1,-8.643578034836239,1.0
CCC([NH])C=O,6.30463371722579,1.0
OCC12CC[CH]CC1O2,-30.02208753102493,1.0
[CH]1C2CC(C2)OC12CC2,47.46383880091479,1.0
C#CC(C)(C#N)C[CH]O,71.29633583255331,1.0
O=CO[C]1CCC12CC2,0.2301066761074098,1.0
C[CH]C(CC=O)OC=O,-83.03275835013406,1.0
CC1([CH]COC=O)CO1,-64.041120877034,1.0
OC1CC[CH]OC12CC2,-25.397206266857552,1.0
[CH]1CCC23CC2(CO3)O1,26.05828217088441,1.0
[CH2]C(=C)OC,3.8528953322315953,1.0
C[CH]C1(C=O)CN1,32.33045781134291,1.0
C#CC(C#N)([CH]O)CO,42.60446304138274,1.0
COC12C[CH]CC(C1)C2,8.709795348813577,1.0
[CH2]OCC(=O)OC(C)=N,-65.63955345119611,1.0
C[C](CO)C1CCCC1,-26.827645147709813,1.0
O=[C]CC1=CCCCC1,3.2312995127206534,1.0
N=C1CCCC[CH]CO1,5.665718917852238,1.0
C#CC1C[CH]C2CC2C1,105.24794625486513,1.0
OCC12CN1[CH]C21CC1,82.33689819360183,1.0
CC(OC=O)C(O)[CH]O,-140.67918080899085,1.0
[CH]1CCC2C3CC(O1)C23,81.56767167819258,1.0
OC[C]1CCCN=CO1,-19.70577514016876,1.0
O=[C]CC(=O)COC=O,-105.0266242237192,1.0
[CH]1CCN=COCCO1,-7.869243867777492,1.0
C[C]1CC2(CCCC2)O1,-1.0628312764507408,1.0
C#CC1(CC#CC)C[N]1,175.33403562398823,1.0
C#CC(C)([C]=O)CC#N,83.08074194491554,1.0
CC(O)C[CH]C(O)C#N,-32.40424947118981,1.0
C[C]1CC2(CCCO2)C1,6.855649757445256,1.0
OC1CCCC12[CH]OC2,-22.684957228264214,1.0
O[CH]C1CC2(CCC2)O1,-14.122526647212696,1.0
C#CC12CCC[C]1OC2,80.30941143897108,1.0
CC(O)C([O])(C=O)C=O,-95.0994501946783,1.0
CC1C=CCCC[CH]C1,31.463632537881107,1.0
CC(O)([CH]O)C(O)C=O,-128.64074194251998,1.0
[CH]1CC=CCC2CCC12,64.94443898630695,1.0
CO[C]1CC2(CCC2)C1,30.296690697129915,1.0
[CH](C1CC1)C1C2CC1C2,106.7051896301828,1.0
[O]C12CCCOC(C1)C2,-9.707750478290192,1.0
C[C](CC1CC1)C1CO1,31.180666431976704,1.0
C#CC([CH]O)C(C)=O,10.079940856816734,1.0
